Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,41,12,P:System.Windows.Forms.FolderBrowserDialog.SelectedPath,,,,,"FolderBrowserDialog extractFolderBrowserDialog = new FolderBrowserDialog {                  Description = Description,                  SelectedPath = SelectedPath              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,41,12,P:System.Windows.Forms.FolderBrowserDialog.Description,,,,,"FolderBrowserDialog extractFolderBrowserDialog = new FolderBrowserDialog {                  Description = Description,                  SelectedPath = SelectedPath              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,41,12,T:System.Windows.Forms.FolderBrowserDialog,,,,,"FolderBrowserDialog extractFolderBrowserDialog = new FolderBrowserDialog {                  Description = Description,                  SelectedPath = SelectedPath              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,41,12,M:System.Windows.Forms.FolderBrowserDialog.#ctor,,,,,"FolderBrowserDialog extractFolderBrowserDialog = new FolderBrowserDialog {                  Description = Description,                  SelectedPath = SelectedPath              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,35,16,T:System.Windows.Forms.TextBox,,,,,directory.Text = value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,35,16,P:System.Windows.Forms.TextBox.Text,,,,,directory.Text = value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,32,16,T:System.Windows.Forms.TextBox,,,,,return directory.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,32,16,P:System.Windows.Forms.TextBox.Text,,,,,return directory.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,25,16,T:System.Windows.Forms.Label,,,,,return label.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,25,16,P:System.Windows.Forms.Label.Text,,,,,return label.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,22,16,T:System.Windows.Forms.Label,,,,,label.Text = value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,22,16,P:System.Windows.Forms.Label.Text,,,,,label.Text = value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,16,12,T:System.Windows.Forms.Button,,,,,CancelButton = cancelButton;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,16,12,T:System.Windows.Forms.IButtonControl,,,,,CancelButton = cancelButton;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,16,12,P:System.Windows.Forms.Form.CancelButton,,,,,CancelButton = cancelButton;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,15,12,T:System.Windows.Forms.Button,,,,,AcceptButton = okButton;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,15,12,T:System.Windows.Forms.IButtonControl,,,,,AcceptButton = okButton;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,15,12,P:System.Windows.Forms.Form.AcceptButton,,,,,AcceptButton = okButton;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,13,12,T:System.Windows.Forms.Button,,,,,okButton.NotifyDefault(true);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,13,12,M:System.Windows.Forms.Button.NotifyDefault(System.Boolean),,,,,okButton.NotifyDefault(true);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.cs,10,8,M:System.Windows.Forms.Form.#ctor,,,,,public DirectoryDialog() {              InitializeComponent();                okButton.NotifyDefault(true);                AcceptButton = okButton;              CancelButton = cancelButton;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,106,44,T:System.Windows.Forms.Button,,,,,cancelButton
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,105,44,T:System.Windows.Forms.Button,,,,,okButton
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,104,43,T:System.Windows.Forms.Label,,,,,label
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,103,44,T:System.Windows.Forms.Button,,,,,browseButton
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,102,45,T:System.Windows.Forms.TextBox,,,,,directory
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,96,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,95,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,94,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""Enter Directory"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,93,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""DirectoryDialog"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,92,12,T:System.Windows.Forms.TextBox,,,,,this.Controls.Add(this.directory);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,92,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.directory);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,92,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.directory);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,92,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.directory);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,91,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.browseButton);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,91,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.browseButton);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,91,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.browseButton);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,91,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.browseButton);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,90,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.label);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CommonDialogs\CommonDialogs.csproj,File,CommonDialogs\DirectoryDialog.Designer.cs,90,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label);
